Count;ComponentName;RefDes;Value;Description;cost;pins;consumption;sq;Link;pack;sqP;зфсл;manufactor;man;lock;pach
;CR0603;R165;3K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
18;CR0603;R2;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R7;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R12;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R14;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R15;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R16;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R21;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R22;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R23;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R24;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R53;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R54;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R55;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R56;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R85;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R86;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R87;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R88;10K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
1;CR0603;R6;20K;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
1;CR0603;R3;82;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
84;CR0603;R25;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R26;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R27;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R28;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R29;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R30;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R31;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R32;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R33;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R34;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R35;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R36;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R37;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R38;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R39;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R40;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R41;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R42;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R43;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R44;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R45;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R46;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R47;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R48;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R49;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R50;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R51;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R52;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R57;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R58;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R59;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R60;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R61;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R62;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R63;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R64;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R65;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R66;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R67;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R68;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R69;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R70;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R71;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R72;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R73;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R74;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R75;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R76;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R77;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R78;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R79;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R80;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R81;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R82;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R83;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R84;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R89;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R90;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R91;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R92;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R93;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R94;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
;CR0603;R95;200;чип резистор 0603;0,07;2;63;2,41;;smd603;;;;;;
